LOCFileNumber,order_office,OrderDate,CustomerName,snapshot_date,wo_count,has_wo_flag
LOC-2-2603-000996,FKSCLG,2026-03-26,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-000997,FKSCLG,2026-03-26,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-000998,FKSCLG,2026-03-26,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-000999,FKSCLG,2026-03-26,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001000,FKSCLG,2026-03-26,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001001,FKSCLG,2026-03-26,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001002,FKSCLG,2026-03-26,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001003,FKSCLG,2026-03-27,PT. CARGILL INDONESIA,2026-03-30,1,1
LOC-2-2603-001004,FKSCLG,2026-03-26,PT DUTA SENTOSA YASA (MR DIY),2026-03-30,1,1
LOC-2-2603-001005,FKSCLG,2026-03-26,PT DUTA SENTOSA YASA (MR DIY),2026-03-30,1,1
LOC-2-2603-001006,FKSCLG,2026-03-26,PT DUTA SENTOSA YASA (MR DIY),2026-03-30,1,1
LOC-2-2603-001007,FKSCLG,2026-03-26,PT DUTA SENTOSA YASA (MR DIY),2026-03-30,1,1
LOC-2-2603-001008,FKSCLG,2026-03-23,PT Coca-Cola Distribution Indonesia,2026-03-30,1,1
LOC-2-2603-001009,FKSCLG,2026-03-23,PT Coca-Cola Distribution Indonesia,2026-03-30,1,1
LOC-2-2603-001010,FKSCLG,2026-03-23,PT Coca-Cola Distribution Indonesia,2026-03-30,1,1
LOC-2-2603-001011,FKSCLG,2026-03-23,PT Coca-Cola Distribution Indonesia,2026-03-30,1,1
LOC-2-2603-001012,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001013,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001014,FKSCLG,2026-03-26,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001015,FKSCLG,2026-03-26,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001016,FKSCLG,2026-03-26,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001017,FKSCLG,2026-03-26,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001018,FKSCLG,2026-03-26,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001019,FKSCLG,2026-03-26,PT. Permata Food Indonesia,2026-03-30,1,1
LOC-2-2603-001020,FKSCLG,2026-03-26,PT. Permata Food Indonesia,2026-03-30,1,1
LOC-2-2603-001021,FKSCLG,2026-03-26,PT. Permata Food Indonesia,2026-03-30,1,1
LOC-2-2603-001022,FKSCLG,2026-03-18,PT. Bungasari Flour Mills Indonesia,2026-03-30,1,1
LOC-2-2603-001023,FKSCLG,2026-03-18,PT. Bungasari Flour Mills Indonesia,2026-03-30,1,1
LOC-2-2603-001024,FKSCLG,2026-03-25,PT. Bungasari Flour Mills Indonesia,2026-03-30,1,1
LOC-2-2603-001025,FKSCLG,2026-03-25,PT. Bungasari Flour Mills Indonesia,2026-03-30,1,1
LOC-2-2603-001026,FKSCLG,2026-03-25,PT. Bungasari Flour Mills Indonesia,2026-03-30,1,1
LOC-2-2603-001027,FKSCLG,2026-03-26,BADAN INBISCO NIAGATAMA SEMESTA,2026-03-30,1,1
LOC-2-2603-001028,FKSCLG,2026-03-26,BADAN INBISCO NIAGATAMA SEMESTA,2026-03-30,1,1
LOC-2-2603-001029,FKSCLG,2026-03-28,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001030,FKSCLG,2026-03-27,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001031,FKSCLG,2026-03-27,PT. GERBANG CAHAYA UTAMA,2026-03-30,1,1
LOC-2-2603-001032,FKSCLG,2026-03-27,PT. GERBANG CAHAYA UTAMA,2026-03-30,1,1
LOC-2-2603-001033,FKSCLG,2026-03-27,PT. GERBANG CAHAYA UTAMA,2026-03-30,1,1
LOC-2-2603-001034,FKSCLG,2026-03-27,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001035,FKSCLG,2026-03-27,PT. GERBANG CAHAYA UTAMA,2026-03-30,1,1
LOC-2-2603-001036,FKSCLG,2026-03-27,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001037,FKSCLG,2026-03-27,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001038,FKSCLG,2026-03-27,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001039,FKSCLG,2026-03-27,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001040,FKSCLG,2026-03-27,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001041,FKSCLG,2026-03-27,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001042,FKSCLG,2026-03-27,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001043,FKSCLG,2026-03-26,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001044,FKSCLG,2026-03-26,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001045,FKSCLG,2026-03-28,PT. GERBANG CAHAYA UTAMA,2026-03-30,1,1
LOC-2-2603-001046,FKSCLG,2026-03-28,PT. GERBANG CAHAYA UTAMA,2026-03-30,1,1
LOC-2-2603-001047,FKSCLG,2026-03-27,PT DUTA SENTOSA YASA (MR DIY),2026-03-30,1,1
LOC-2-2603-001048,FKSCLG,2026-03-27,PT DUTA SENTOSA YASA (MR DIY),2026-03-30,1,1
LOC-2-2603-001049,FKSCLG,2026-03-27,PT DUTA SENTOSA YASA (MR DIY),2026-03-30,1,1
LOC-2-2603-001050,FKSCLG,2026-03-27,PT DUTA SENTOSA YASA (MR DIY),2026-03-30,1,1
LOC-2-2603-001051,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001052,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001053,FKSCLG,2026-03-28,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001054,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001055,FKSCLG,2026-03-28,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001056,FKSCLG,2026-03-28,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001057,FKSCLG,2026-03-25,PT. Bungasari Flour Mills Indonesia,2026-03-30,1,1
LOC-2-2603-001058,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001059,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001060,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001061,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001062,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001063,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001064,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001065,FKSCLG,2026-03-23,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001066,FKSCLG,2026-03-29,PT Permata Dunia Sukses Utama,2026-03-30,1,1
LOC-2-2603-001067,FKSCLG,2026-03-29,PT Permata Dunia Sukses Utama,2026-03-30,1,1
LOC-2-2603-001068,FKSCLG,2026-03-27,PT. CARGILL INDONESIA,2026-03-30,1,1
LOC-2-2603-001069,FKSCLG,2026-03-29,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001070,FKSCLG,2026-03-29,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001071,FKSCLG,2026-03-29,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001072,FKSCLG,2026-03-29,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001073,FKSCLG,2026-03-29,PT NUTRINDO BOGARASA,2026-03-30,1,1
LOC-2-2603-001074,FKSCLG,2026-03-29,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
