order_office,LOCFileNumber,loc_revenue_idr
FKSCLG,LOC-2-2603-000452,900000
FKSCLG,LOC-2-2603-000453,900000
FKSCLG,LOC-2-2603-000454,900000
FKSCLG,LOC-2-2603-000455,900000
FKSCLG,LOC-2-2603-000459,1860000
FKSCLG,LOC-2-2603-000460,4000000
FKSCLG,LOC-2-2603-000467,7085000
FKSCLG,LOC-2-2603-000489,8610000
FKSCLG,LOC-2-2603-000500,900000
FKSCLG,LOC-2-2603-000501,1000000
FKSCLG,LOC-2-2603-000502,1000000
FKSCLG,LOC-2-2603-000503,900000
FKSCLG,LOC-2-2603-000504,900000
FKSCLG,LOC-2-2603-000520,6103050
FKSCLG,LOC-2-2603-000555,8823750
FKSCLG,LOC-2-2603-000559,8827650
FKSCLG,LOC-2-2603-000572,900000
FKSCLG,LOC-2-2603-000573,900000
FKSCLG,LOC-2-2603-000575,1500000
FKSCLG,LOC-2-2603-000593,1250000
FKSCLG,LOC-2-2603-000617,6860000
FKSCLG,LOC-2-2603-000618,900000
FKSCLG,LOC-2-2603-000619,900000
FKSCLG,LOC-2-2603-000621,900000
FKSCLG,LOC-2-2603-000626,2500000
FKSCLG,LOC-2-2603-000651,4144000
FKSCLG,LOC-2-2603-000654,1575000
FKSCLG,LOC-2-2603-000655,2570000
FKSCLG,LOC-2-2603-000662,4144000
FKSCLG,LOC-2-2603-000683,900000
FKSCLG,LOC-2-2603-000684,900000
FKSCLG,LOC-2-2603-000685,1000000
FKSCLG,LOC-2-2603-000686,900000
FKSCLG,LOC-2-2603-000687,900000
FKSCLG,LOC-2-2603-000689,5430000
FKSCLG,LOC-2-2603-000692,2050000
FKSCLG,LOC-2-2603-000699,1450000
FKSCLG,LOC-2-2603-000700,1150000
FKSCLG,LOC-2-2603-000706,1740000
FKSCLG,LOC-2-2603-000708,1436000
FKSCLG,LOC-2-2603-000709,1436000
FKSCLG,LOC-2-2603-000710,1000000
FKSCLG,LOC-2-2603-000711,1000000
FKSCLG,LOC-2-2603-000712,900000
FKSCLG,LOC-2-2603-000713,1450000
FKSCLG,LOC-2-2603-000714,1350000
FKSCLG,LOC-2-2603-000715,1650000
FKSCLG,LOC-2-2603-000721,4144000
